cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
151083,cdc:151083,"Prevalence of Testing for Diabetes Among US Adults With Overweight or Obesity, 2016–2019","Chen\, Yu,Lundeen\, Elizabeth A.,Koyama\, Alain K.,Kompaniyets\, Lyudmyla,Andes\, Linda J.,Benoit\, Stephen R.,Imperatore\, Giuseppina,Rolka\, Deborah B.",,https://stacks.cdc.gov/view/cdc/151083,https://stacks.cdc.gov/view/cdc/151083/cdc_151083_DS1.pdf,source_documents/cdc_151083.pdf,Include,10,0
20083,cdc:20083,Identifying Supports and Barriers to Physical Activity in Patients at Risk for Diabetes,"Donahue\, Katrina E,Mielenz\, Thelma J,Callahan\, Leigh F,Sloane\, Philip D,Devellis\, Robert F",,https://stacks.cdc.gov/view/cdc/20083,https://stacks.cdc.gov/view/cdc/20083/cdc_20083_DS1.pdf,source_documents/cdc_20083.pdf,Include,9,0
29611,cdc:29611,"A Comparison of Cardiometabolic Risk Factors in Households in Rural Uganda With and Without a Resident With Type 2 Diabetes, 2012–2013","Nielsen\, Jannie,Bahendeka\, Silver K.,Gregg\, Edward W.,Whyte\, Susan R.,Bygbjerg\, Ib C.,Meyrowitsch\, Dan W.",,https://stacks.cdc.gov/view/cdc/29611,https://stacks.cdc.gov/view/cdc/29611/cdc_29611_DS1.pdf,source_documents/cdc_29611.pdf,Include,8,0
20595,cdc:20595,Forecasting Diabetes Prevalence in California: A Microsimulation,"Shi\, Lu,van Meijgaard\, Jeroen,Fielding\, Jonathan",,https://stacks.cdc.gov/view/cdc/20595,https://stacks.cdc.gov/view/cdc/20595/cdc_20595_DS1.pdf,source_documents/cdc_20595.pdf,Include,8,4
26463,cdc:26463,"Blood Glucose Screening Rates Among Minnesota Adults With Hypertension, Behavioral Risk Factor Surveillance System, 2011","Kidney\, Renée S.M.,Peacock\, James M.,Smith\, Steven A.",,https://stacks.cdc.gov/view/cdc/26463,https://stacks.cdc.gov/view/cdc/26463/cdc_26463_DS1.pdf,source_documents/cdc_26463.pdf,Include,7,0
21008,cdc:21008,"Gestational Age, Infant Birth Weight, and Subsequent Risk of Type 2 Diabetes in Mothers: Nurses’ Health Study II","James-Todd\, Tamarra M.,Karumanchi\, S. Ananth,Hibert\, Eileen L.,Mason\, Susan M.,Vadnais\, Mary A.,Hu\, Frank B.,Rich-Edwards\, Janet W.",,https://stacks.cdc.gov/view/cdc/21008,https://stacks.cdc.gov/view/cdc/21008/cdc_21008_DS1.pdf,source_documents/cdc_21008.pdf,Include,6,0
20206,cdc:20206,Translating a Community-Based Motivational Support Program to Increase Physical Activity Among Older Adults With Diabetes at Community Clinics: A Pilot Study of Physical Activity for a Lifetime of Success (PALS),"Phelan\, Elizabeth A,Batik\, Odette,Walwick\, Julie A,Wang\, Grace,LoGerfo\, James P",,https://stacks.cdc.gov/view/cdc/20206,https://stacks.cdc.gov/view/cdc/20206/cdc_20206_DS1.pdf,source_documents/cdc_20206.pdf,Include,6,0
20117,cdc:20117,"Mexican Americans With Type 2 Diabetes: Perspectives on Definitions, Motivators, and Programs of Physical Activity","Mier\, Nelda,Medina\, Alvaro A,Ory\, Marcia G",,https://stacks.cdc.gov/view/cdc/20117,https://stacks.cdc.gov/view/cdc/20117/cdc_20117_DS1.pdf,source_documents/cdc_20117.pdf,Include,6,0
20102,cdc:20102,Modifiable Risk Factors for Developing Diabetes Among Women With Previous Gestational Diabetes,"Yun\, Shumei,Kabeer\, Nisreen H,Zhu\, Bao-Ping,Brownson\, Ross C",,https://stacks.cdc.gov/view/cdc/20102,https://stacks.cdc.gov/view/cdc/20102/cdc_20102_DS1.pdf,source_documents/cdc_20102.pdf,Include,6,0
113215,cdc:113215,Type 2 Diabetes Among Filipino American Adults in the Multiethnic Cohort,"Raquinio\, Phyllis Aira Sheer H.,Maskarinec\, Gertraud,Dela Cruz\, Rica,Setiawan\, Veronica W.,Kristal\, Bruce S.,Wilkens\, Lynne R.,Le Marchand\, Loïc",,https://stacks.cdc.gov/view/cdc/113215,https://stacks.cdc.gov/view/cdc/113215/cdc_113215_DS1.pdf,source_documents/cdc_113215.pdf,Include,5,0
